ID,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,From_Cache_la_Poudre
0000452309010,2468,76,10,108,14,201,233,220,118,1100,2703,0
0000754045784,2052,65,24,150,31,518,234,184,68,618,2717,1
0001347023875,2570,235,32,371,-29,726,150,248,221,1243,2705,0
0001349656279,2390,266,18,30,0,446,170,245,212,424,5101,0
0001366367028,2237,27,33,153,107,1134,186,148,78,1541,4703,1
0002858471582,2450,334,21,277,129,324,168,208,176,300,4703,1
0003213327025,2690,105,18,170,35,2293,248,215,89,2505,4704,0
0003783572115,2231,298,34,108,69,566,107,206,228,1464,4703,1
0005303074093,2746,180,10,120,21,967,224,246,155,510,2703,0
0005516940055,2329,14,12,150,22,1124,208,214,141,1027,2704,1
0006759254411,2207,349,23,150,99,1142,171,195,157,1090,4703,1
0006933872110,2540,78,19,268,-3,443,241,202,84,1218,2705,0
0008632129328,2268,175,44,150,70,883,201,217,102,904,2717,1
0008677298010,2203,285,34,212,122,1458,110,218,237,726,4703,1
0009588898696,2020,60,18,150,5,391,231,200,95,488,2717,1
0010284394528,2597,128,19,0,0,1451,248,224,96,268,4703,0
0012267706113,2126,5,6,0,0,907,213,229,154,600,5101,1
0012451201776,2089,321,24,192,74,255,152,209,193,488,4703,1
0013013777524,2528,203,14,127,40,1082,212,252,172,1194,2705,0
0013188307748,2625,163,9,467,89,671,229,243,146,1552,2703,0
0014344439464,2253,2,34,95,56,1170,152,154,123,618,4703,1
0014921195721,2289,109,21,247,91,816,251,210,77,830,2717,1
0015239464059,2308,260,13,210,46,255,187,247,198,395,2703,1
0015326053647,2676,39,9,558,26,771,221,219,133,1206,4704,0
0015508622937,2283,338,17,30,3,636,181,214,171,685,4703,1
0015831098706,2305,145,19,134,31,124,243,233,111,875,2704,0
0019497318000,2371,153,16,228,84,1148,237,239,127,1054,2704,1
0020843699124,2308,112,24,216,57,283,253,206,66,900,2704,1
0021381959367,2374,338,3,0,0,743,214,235,160,1072,2705,0
0021706496652,2426,14,20,30,5,1693,197,195,129,247,6101,0
0021787984130,2252,59,36,417,14,467,221,143,26,351,2717,1
0021893529546,2073,315,45,228,183,216,69,162,210,108,4703,1
0022742765290,2212,337,25,67,22,924,156,196,174,1387,4703,1
0022901953476,2657,198,16,361,129,836,214,252,168,1099,2703,0
0023304876089,2692,148,9,108,14,2040,232,240,139,1703,2705,0
0023324885481,2496,310,11,616,283,933,190,233,183,335,2717,1
0024109929154,2635,222,15,108,58,1380,201,253,186,1387,2704,0
0024351995044,2345,74,12,95,0,390,235,216,111,641,2703,1
0024757465523,2320,255,18,162,72,1103,177,249,208,865,2717,1
0025518578834,2508,332,9,604,125,703,198,228,170,511,4704,1
0026830937637,2522,137,13,180,36,1041,239,235,123,1100,2705,0
0027092891330,2418,107,24,190,77,932,252,205,67,1041,2706,1
0027280375512,2101,269,26,192,90,255,143,239,229,492,4703,1
0027481291543,2750,322,8,361,70,1584,199,232,173,2001,4704,0
0027506750680,2341,298,30,295,11,595,125,215,223,644,4703,1
0027954093858,2307,297,29,67,17,847,126,216,223,685,4703,1
0028301549424,2495,39,9,0,0,1271,221,220,134,1154,6102,0
0029171667980,2424,13,28,124,46,592,182,171,115,1065,4703,1
0031510049715,2345,293,17,258,51,1158,171,234,202,812,2703,1
0033058065486,2292,24,33,60,40,1465,182,151,85,1057,4703,1
0034006772623,2028,30,34,124,102,192,188,145,71,488,4703,1
0035226493633,2392,300,32,362,150,711,114,207,224,376,4703,1
0035490951273,2500,116,21,242,35,492,251,214,80,994,2705,0
0036100719818,2673,231,25,108,67,2707,174,253,208,1112,2705,0
0036588203328,2297,110,22,190,30,256,251,211,77,949,2704,1
0036745557318,2554,95,3,534,20,987,224,235,147,1170,2703,0
0037075687751,2757,99,11,330,5,765,239,224,114,481,4704,0
0037353465545,2492,147,21,180,-57,1320,243,232,107,1495,2705,0
